# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
36.3,4.57881,0,-2.2396,0,-0.6606,3.14159
36.4,4.59109,0,-2.24493,0,-0.658458,3.14159
36.5,4.60332,0,-2.25021,0,-0.656174,3.14159
36.6,4.61549,0,-2.25546,0,-0.653757,3.14159
36.7,4.62761,0,-2.26066,0,-0.651216,3.14159
36.8,4.63968,0,-2.26582,0,-0.648557,3.14159
36.9,4.6517,0,-2.27094,0,-0.64579,3.14159
37,4.66369,0,-2.27602,0,-0.642922,3.14159
37.1,4.67564,0,-2.28105,0,-0.63996,3.14159
37.2,4.68755,0,-2.28603,0,-0.636913,3.14159
37.3,4.69943,0,-2.29098,0,-0.633786,3.14159
37.4,4.71127,0,-2.29587,0,-0.630588,3.14159
37.5,4.72309,0,-2.30072,0,-0.627325,3.14159
37.6,4.73488,0,-2.30553,0,-0.624002,3.14159
37.7,4.74724,0,-2.31072,0,-0.620396,3.14159
37.8,4.76184,0,-2.31746,0,-0.615462,3.14159
37.9,4.77646,0,-2.32412,0,-0.608431,3.14159
38,4.78879,0,-2.32908,0,-0.599578,3.14159
38.1,4.80059,0,-2.33359,0,-0.589224,3.14159
38.2,4.81242,0,-2.33802,0,-0.577551,3.14159
38.3,4.8243,0,-2.34237,0,-0.564675,3.14159
38.4,4.83623,0,-2.34663,0,-0.55068,3.14159
38.5,4.84822,0,-2.3508,0,-0.535634,3.14159
38.6,4.86028,0,-2.35486,0,-0.519597,3.14159
38.7,4.87243,0,-2.35881,0,-0.502624,3.14159
38.8,4.88467,0,-2.36265,0,-0.484766,3.14159
38.9,4.89701,0,-2.36637,0,-0.466073,3.14159
39,4.90945,0,-2.36996,0,-0.446592,3.14159
39.1,4.92201,0,-2.37341,0,-0.42637,3.14159
39.2,4.9347,0,-2.37671,0,-0.405452,3.14159
39.3,4.94751,0,-2.37986,0,-0.383882,3.14159
39.4,4.96045,0,-2.38284,0,-0.361702,3.14159
39.5,4.97354,0,-2.38566,0,-0.338956,3.14159
39.6,4.98676,0,-2.38829,0,-0.315684,3.14159
39.7,5.00014,0,-2.39073,0,-0.291927,3.14159
39.8,5.01367,0,-2.39297,0,-0.267725,3.14159
39.9,5.02736,0,-2.395,0,-0.243116,3.14159
40,5.04121,0,-2.39681,0,-0.21814,3.14159
40.1,5.05522,0,-2.39838,0,-0.192835,3.14159
40.2,5.06939,0,-2.39971,0,-0.167237,3.14159
40.3,5.08372,0,-2.4008,0,-0.141383,3.14159
40.4,5.09821,0,-2.40161,0,-0.115311,3.14159
40.5,5.11287,0,-2.40216,0,-0.089054,3.14159
40.6,5.12769,0,-2.40242,0,-0.0626486,3.14159
40.7,5.14267,0,-2.40238,0,-0.036129,3.14159
40.8,5.15781,0,-2.40204,0,-0.00952885,3.14159
40.9,5.1731,0,-2.40139,0,0.0171186,3.14159
41,5.18855,0,-2.40041,0,0.043781,3.14159
41.1,5.20414,0,-2.3991,0,0.0704264,3.14159
41.2,5.21988,0,-2.39744,0,0.0970237,3.14159
41.3,5.23576,0,-2.39543,0,0.123543,3.14159
41.4,5.25177,0,-2.39305,0,0.149954,3.14159
41.5,5.26791,0,-2.39031,0,0.176228,3.14159
41.6,5.28417,0,-2.38718,0,0.202338,3.14159
41.7,5.30055,0,-2.38367,0,0.228257,3.14159
41.8,5.31704,0,-2.37977,0,0.253958,3.14159
41.9,5.33364,0,-2.37546,0,0.279417,3.14159
42,5.35033,0,-2.37075,0,0.304609,3.14159
42.1,5.36711,0,-2.36562,0,0.329511,3.14159
42.2,5.38398,0,-2.36008,0,0.354102,3.14159
42.3,5.40092,0,-2.35411,0,0.37836,3.14159
42.4,5.41794,0,-2.34771,0,0.402265,3.14159
42.5,5.43502,0,-2.34087,0,0.425799,3.14159
42.6,5.45215,0,-2.3336,0,0.448944,3.14159
42.7,5.46933,0,-2.32589,0,0.471682,3.14159
42.8,5.48656,0,-2.31773,0,0.494,3.14159
42.9,5.50383,0,-2.30913,0,0.515881,3.14159
43,5.52112,0,-2.30007,0,0.537314,3.14159
43.1,5.53844,0,-2.29057,0,0.558286,3.14159
43.2,5.55578,0,-2.28062,0,0.578785,3.14159
43.3,5.57313,0,-2.27021,0,0.598802,3.14159
43.4,5.59049,0,-2.25934,0,0.618328,3.14159
43.5,5.60785,0,-2.24802,0,0.637355,3.14159
43.6,5.62522,0,-2.23625,0,0.655875,3.14159
43.7,5.64258,0,-2.22402,0,0.673884,3.14159
43.8,5.65993,0,-2.21134,0,0.691376,3.14159
43.9,5.67727,0,-2.1982,0,0.708348,3.14159
44,5.6946,0,-2.18461,0,0.724795,3.14159
44.1,5.7119,0,-2.17056,0,0.740717,3.14159
44.2,5.72919,0,-2.15607,0,0.756111,3.14159
44.3,5.74646,0,-2.14112,0,0.770978,3.14159
44.4,5.76371,0,-2.12573,0,0.785317,3.14159
44.5,5.78094,0,-2.10989,0,0.79913,3.14159
44.6,5.79814,0,-2.0936,0,0.812418,3.14159
44.7,5.81532,0,-2.07687,0,0.825183,3.14159
